,TABLE,VALUE,CLUSTER,OBSERVED,EXPECTED,DIFF,INDCHI2,INFLUENCE,rank
69,CATAG6,50-64,8,1692251.3429716276,1720559.7628729104,-28308.41990128276,465.7592573066205,2.0871845040296924e-05,62.0
70,CATAG6,65+,8,428040.46191689,1394112.0143146703,-966071.5523977804,669454.2725184491,0.029999931549124708,9.0
71,CATAG6,18-25,9,799616.2097342513,857216.0608945426,-57599.85116029135,3870.3694494775405,0.0001734410001109521,55.0
72,CATAG6,26-34,9,537437.24645087,995735.3244433528,-458298.0779924828,210936.70490099484,0.009452604857418953,26.0
73,CATAG6,35-49,9,1015231.6630253608,1529490.0872620922,-514258.4242367314,172908.42817546683,0.00774846202716228,31.0
74,CATAG6,50-64,9,1504893.471594005,1565259.3064686044,-60365.83487459947,2328.070502470768,0.00010432670099022286,57.0
75,CATAG6,65+,9,2358799.438350485,1268277.2500863806,1090522.1882641045,937680.340016612,0.042019816991582665,7.0
76,CATAG6,18-25,10,228691.57218062674,76250.52961695891,152441.0425636678,304762.099025861,0.01365715700812326,20.0
77,CATAG6,26-34,10,64993.3058103875,88572.0057180084,-23578.699907620896,6276.871397760447,0.0002812824116680542,54.0
78,CATAG6,35-49,10,56968.6971215475,136050.21478006436,-79081.51765851685,45967.486676035034,0.002059918818022555,41.0
79,CATAG6,50-64,10,151398.248175215,139231.93527376984,12166.31290144517,1063.1122042857705,4.764073465037639e-05,61.0
80,CATAG6,65+,10,50867.8412316175,112814.97913059278,-61947.13789897528,34015.411104517356,0.001524316217912755,43.0
81,CATAG6,18-25,11,821818.5922230136,437476.79675780784,384341.7954652058,337660.4584201452,0.015131415326311574,18.0
82,CATAG6,26-34,11,888899.1539118725,508169.55027825217,380729.60363362037,285249.3444434882,0.012782741344744369,22.0
83,CATAG6,35-49,11,773311.1361096768,780569.1640331468,-7258.027923470014,67.48789443036905,3.0243024750429545e-06,65.0
84,CATAG6,50-64,11,486422.715426465,798823.8423515431,-312401.12692507816,122172.69807166049,0.005474866215333159,35.0
85,CATAG6,65+,11,201847.9904559975,647260.234706276,-445412.24425027845,306510.51414907206,0.013735507892073054,19.0
86,CATAG6,18-25,12,34169.293508955,21667.94041171082,12501.35309724418,7212.67579162763,0.00032321816278929594,53.0
87,CATAG6,26-34,12,39827.2949897575,25169.306386255867,14657.988603501635,8536.45414788665,0.0003825400040325886,50.0
88,CATAG6,35-49,12,47266.30038015,38661.0815906942,8605.218789455801,1915.3574439114266,8.583198967912442e-05,58.0
89,CATAG6,50-64,12,28971.17010725,39565.22390171359,-10594.053794463587,2836.6824380621647,0.00012711888244185327,56.0
90,CATAG6,65+,12,6887.8705723250005,32058.377268063054,-25170.506695738055,19762.52266365799,0.000885608399984372,46.0
91,IRSEX,Male,0,28068933.873368356,25197316.26802852,2871617.6053398363,327264.52228409844,0.03720894799338112,9.0
92,IRSEX,Female,0,24140294.269327465,27011911.8746673,-2871617.6053398363,305279.6747434695,0.034709339899377155,10.0
93,IRSEX,Male,1,32756454.614512593,30143016.42330948,2613438.1912031136,226588.4436820113,0.025762394157549624,11.0
94,IRSEX,Female,1,29700340.570077274,32313778.761280384,-2613438.19120311,211366.77420788136,0.02403173816134707,12.0
95,IRSEX,Male,2,15623610.161257723,20724148.421727862,-5100538.260470139,1255322.5356774745,0.14272622837007112,1.0
